Gene	Mycoplasma_meleagridis_210	Mycoplasma_meleagridis_24B8	Mycoplasma_meleagridis_25A3	Mycoplasma_meleagridis_25A4	Mycoplasma_meleagridis_26	Mycoplasma_meleagridis_26B8	Mycoplasma_meleagridis_26B9	Mycoplasma_meleagridis_ATCCC	Mycoplasma_meleagridis_B870
hsdS_6	0	1	0	0	1	1	1	1	1
obg	0	1	0	0	1	1	1	1	1
obgE	0	1	0	0	1	1	1	1	1
MCYN0788	0	1	0	0	1	1	1	1	1
rsuA	0	1	0	0	1	1	1	1	1
group_1378	0	1	0	0	1	1	1	1	1
group_1379	0	1	0	0	1	1	1	1	1
pncB	0	1	0	0	1	1	1	1	1
group_1381	0	1	0	0	1	1	1	1	1
group_1382	0	1	0	0	1	1	1	1	1
group_1383	0	1	0	0	1	1	1	1	1
group_1384	0	1	0	0	1	1	1	1	1
group_1385	0	1	0	0	1	1	1	1	1
group_1387	0	1	0	0	1	1	1	1	1
group_1388	0	1	0	0	1	1	1	1	1
shuV	0	1	0	0	1	1	1	1	1
uvrA_1	0	1	0	0	1	1	1	1	1
uvrA_2	0	1	0	0	1	1	1	1	1
uvrB_1	0	1	0	0	1	1	1	1	1
uvrB_2	0	1	0	0	1	1	1	1	1
group_1394	0	1	0	0	1	1	1	1	1
macB_3	0	1	0	0	1	1	1	1	1
bcrA_4	0	1	0	0	1	1	1	1	1
group_1397	0	1	0	0	1	1	1	1	1
phnD	0	1	0	0	1	1	1	1	1
group_1399	0	1	0	0	1	1	1	1	1
ruvA2	0	1	0	0	1	1	1	1	1
ruvA	0	1	0	0	1	1	1	1	1
MCYN0036	0	1	0	0	1	1	1	1	1
eno	0	1	0	0	1	1	1	1	1
group_1404	0	1	0	0	1	1	1	1	1
group_1405	0	1	0	0	1	1	1	1	1
thrS_1	0	1	0	0	1	1	1	1	1
thrS_2	0	1	0	0	1	1	1	1	1
thrS_3	0	1	0	0	1	1	1	1	1
trpS	0	1	0	0	1	1	1	1	1
MCYN0582	0	1	0	0	1	1	1	1	1
group_1411	0	1	0	0	1	1	1	1	1
group_1412	0	1	0	0	1	1	1	1	1
group_1413	0	1	0	0	1	1	1	1	1
group_1414	0	1	0	0	1	1	1	1	1
group_1415	0	1	0	0	1	1	1	1	1
group_1416	0	1	0	0	1	1	1	1	1
group_1417	0	1	0	0	1	1	1	1	1
group_1418	0	1	0	0	1	1	1	1	1
group_1419	0	1	0	0	1	1	1	1	1
pepO_1	0	1	0	0	1	1	1	1	1
pepO_2	0	1	0	0	1	1	1	1	1
pepO_3	0	1	0	0	1	1	1	1	1
pepO_4	0	1	0	0	1	1	1	1	1
pepO_5	0	1	0	0	1	1	1	1	1
lpg2936	0	1	0	0	1	1	1	1	1
group_1426	0	1	0	0	1	1	1	1	1
ftsZ_1	0	1	0	0	1	1	1	1	1
ftsZ_2	0	1	0	0	1	1	1	1	1
group_1429	0	1	0	0	1	1	1	1	1
mraW	0	1	0	0	1	1	1	1	1
marZ	0	1	0	0	1	1	1	1	1
ktrA	0	1	0	0	1	1	1	1	1
group_1433	0	1	0	0	1	1	1	1	1
ktrB_1	0	1	0	0	1	1	1	1	1
group_1435	0	1	0	0	1	1	1	1	1
group_1436	0	1	0	0	1	1	1	1	1
group_1437	0	1	0	0	1	1	1	1	1
group_1438	0	1	0	0	1	1	1	1	1
group_1439	0	1	0	0	1	1	1	1	1
MCYN0766	0	1	0	0	1	1	1	1	1
tetB(P)_4	0	1	0	0	1	1	1	1	1
group_1442	0	1	0	0	1	1	1	1	1
